CustomerID,Lookalikes
C0001,"[{'CustomerID': 'C0174', 'Score': 0.9921950933519943}, {'CustomerID': 'C0152', 'Score': 0.9872873463423041}, {'CustomerID': 'C0085', 'Score': 0.9149423606886057}]"
C0002,"[{'CustomerID': 'C0159', 'Score': 0.9856803265611225}, {'CustomerID': 'C0043', 'Score': 0.8852007569926726}, {'CustomerID': 'C0178', 'Score': 0.8562595726935812}]"
C0003,"[{'CustomerID': 'C0031', 'Score': 0.9381777182596581}, {'CustomerID': 'C0129', 'Score': 0.9226381846869548}, {'CustomerID': 'C0195', 'Score': 0.9150506641711609}]"
C0004,"[{'CustomerID': 'C0012', 'Score': 0.9780970207655875}, {'CustomerID': 'C0148', 'Score': 0.9611371964183694}, {'CustomerID': 'C0113', 'Score': 0.9288766506438708}]"
C0005,"[{'CustomerID': 'C0140', 'Score': 0.9922482880187513}, {'CustomerID': 'C0007', 'Score': 0.9892039272909169}, {'CustomerID': 'C0146', 'Score': 0.8813730643971281}]"
C0006,"[{'CustomerID': 'C0187', 'Score': 0.9923559983140174}, {'CustomerID': 'C0108', 'Score': 0.9427630072651944}, {'CustomerID': 'C0048', 'Score': 0.8912271316693409}]"
C0007,"[{'CustomerID': 'C0005', 'Score': 0.9892039272909169}, {'CustomerID': 'C0140', 'Score': 0.9715265684108232}, {'CustomerID': 'C0146', 'Score': 0.8907097229914944}]"
C0008,"[{'CustomerID': 'C0122', 'Score': 0.9667713620393565}, {'CustomerID': 'C0046', 'Score': 0.9606056045562361}, {'CustomerID': 'C0067', 'Score': 0.9246673717955989}]"
C0009,"[{'CustomerID': 'C0198', 'Score': 0.9999815358811739}, {'CustomerID': 'C0058', 'Score': 0.8025969747010396}, {'CustomerID': 'C0061', 'Score': 0.8000442835642246}]"
C0010,"[{'CustomerID': 'C0132', 'Score': 0.9496101235559719}, {'CustomerID': 'C0061', 'Score': 0.8874418751087787}, {'CustomerID': 'C0167', 'Score': 0.8352519309764422}]"
C0011,"[{'CustomerID': 'C0107', 'Score': 0.9962793514733451}, {'CustomerID': 'C0126', 'Score': 0.9758877488154336}, {'CustomerID': 'C0048', 'Score': 0.8923083234980727}]"
C0012,"[{'CustomerID': 'C0148', 'Score': 0.9964827760307721}, {'CustomerID': 'C0004', 'Score': 0.9780970207655875}, {'CustomerID': 'C0102', 'Score': 0.9280143729204388}]"
C0013,"[{'CustomerID': 'C0155', 'Score': 0.9922179962522937}, {'CustomerID': 'C0099', 'Score': 0.9857667303434399}, {'CustomerID': 'C0087', 'Score': 0.9792248170946501}]"
C0014,"[{'CustomerID': 'C0060', 'Score': 0.9993796306016353}, {'CustomerID': 'C0089', 'Score': 0.897785238333565}, {'CustomerID': 'C0097', 'Score': 0.8817253942106267}]"
C0015,"[{'CustomerID': 'C0131', 'Score': 0.9787892641231285}, {'CustomerID': 'C0036', 'Score': 0.8730888032835341}, {'CustomerID': 'C0123', 'Score': 0.8443549945353767}]"
C0016,"[{'CustomerID': 'C0183', 'Score': 0.9874534868773336}, {'CustomerID': 'C0154', 'Score': 0.8929308388254691}, {'CustomerID': 'C0117', 'Score': 0.8847776708437688}]"
C0017,"[{'CustomerID': 'C0053', 'Score': 0.9770007187454188}, {'CustomerID': 'C0041', 'Score': 0.9714872085222271}, {'CustomerID': 'C0182', 'Score': 0.9707740045890053}]"
C0018,"[{'CustomerID': 'C0046', 'Score': 0.9158794300938764}, {'CustomerID': 'C0122', 'Score': 0.9120056335214761}, {'CustomerID': 'C0008', 'Score': 0.9058119062371925}]"
C0019,"[{'CustomerID': 'C0070', 'Score': 0.9590846451629071}, {'CustomerID': 'C0172', 'Score': 0.8835897629927679}, {'CustomerID': 'C0121', 'Score': 0.8694656403516441}]"
C0020,"[{'CustomerID': 'C0058', 'Score': 0.8615344712188334}, {'CustomerID': 'C0033', 'Score': 0.8583557370200213}, {'CustomerID': 'C0130', 'Score': 0.8554108948476858}]"
